Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1834.4428836619286
FDW14,OUT017,1348.402026576889
NCN55,OUT010,1847.1512827112713
FDQ58,OUT017,2576.0260552006503
FDY38,OUT027,5084.71558555939
FDH56,OUT046,1954.6874217729178
FDL48,OUT018,576.4237331577742
FDC48,OUT027,2777.314946925455
FDN33,OUT045,1514.8538431229429
FDA36,OUT017,3091.423115715346
FDT44,OUT017,1998.1548321276675
FDQ56,OUT045,1367.7044851757046
NCC54,OUT019,1888.0108410331143
FDU11,OUT049,2033.0332854938638
DRL59,OUT013,899.151602617481
FDM24,OUT049,2571.122192090983
FDI57,OUT045,3325.0434647885163
DRC12,OUT018,2748.89943080749
NCM42,OUT027,3205.88711055782
FDA46,OUT010,1085.5140443994069
FDA31,OUT013,2890.3204506816273
NCJ31,OUT035,3829.1888073827677
FDG52,OUT046,707.6305531190155
NCL19,OUT019,361.8907501167205
FDS10,OUT035,3004.897078841018
FDX22,OUT010,1466.6260891057204
NCF19,OUT035,928.2677711284381
NCE06,OUT046,2535.091292340925
DRC27,OUT046,3763.0719847482446
FDE21,OUT035,2023.7729143982774
NCR42,OUT019,0.0
FDX51,OUT018,2889.392880021359
NCR06,OUT018,442.613056120854
FDU31,OUT027,5005.87767546111
FDU59,OUT017,2667.307594812927
FDR03,OUT027,4768.894371031658
FDS49,OUT027,2761.701074086169
FDD48,OUT010,0.0
NCF18,OUT017,3097.6182920669785
NCD43,OUT027,3113.0320762692722
NCD54,OUT018,1996.6630206870386
FDY19,OUT010,0.0
NCY54,OUT017,2789.7973136360056
NCL19,OUT018,2007.1763857457056
FDP23,OUT010,1512.1725629384669
FDC26,OUT013,1872.8096169272662
FDR14,OUT010,0.0
NCS41,OUT035,3071.7564665625405
FDF41,OUT035,4028.136068476845
FDU34,OUT046,1952.339062568064
DRH11,OUT046,928.1433628210599
FDM03,OUT013,1757.9531434605312
FDS31,OUT017,3061.175710752393
FDJ20,OUT017,2101.8713675180297
FDV44,OUT027,4544.518068415473
FDG02,OUT049,3158.6383507812793
FDA09,OUT013,2995.2486371791197
FDT04,OUT013,628.9807654234669
FDL58,OUT019,2288.5291076368503
FDE52,OUT045,1382.3617153806981
FDW12,OUT035,2520.6866532917393
FDL51,OUT017,3441.3075163215567
NCY42,OUT027,3707.5382144637815
FDR07,OUT017,1663.8445681981864
FDN40,OUT045,2375.940680000057
FDB35,OUT027,2976.514823480982
FDA22,OUT017,2800.9088864415476
NCL06,OUT046,4111.2919762388065
FDI35,OUT013,2990.083721199679
NCW42,OUT045,3441.6572753208734
NCX06,OUT049,2963.18014760815
FDC37,OUT027,3194.2338756668914
FDZ14,OUT018,1655.627043516566
DRG49,OUT049,3963.0965550832652
NCG06,OUT045,4000.610361764455
DRC36,OUT045,2740.5075755510693
FDV21,OUT019,0.0
FDB53,OUT046,2302.4724685482815
DRP47,OUT019,2032.4055180268665
FDA14,OUT013,2242.5587616634084
DRC24,OUT035,2554.823309709711
FDW21,OUT018,1419.8361669386381
NCH29,OUT046,1588.0403631786942
FDU58,OUT013,3135.7379331797147
FDY27,OUT017,2843.1800869205904
FDV56,OUT035,1999.7418583987906
FDT59,OUT046,3575.5750740032026
FDB23,OUT046,3643.274854633521
FDR49,OUT045,714.4612628565665
FDB03,OUT010,1774.0694306586097
FDN39,OUT045,2652.5506779083325
FDX02,OUT027,4892.208595595135
FDQ16,OUT027,3173.3845274165988
FDU35,OUT018,1299.635547670277
NCT29,OUT013,2042.5211220924998
FDZ27,OUT046,716.2671286097252
FDN57,OUT017,2308.3853362716836
FDA03,OUT018,2000.0301415261288
FDZ36,OUT045,2960.3371933751177
NCU05,OUT013,1404.995231015933
FDT39,OUT018,2215.3677155794962
FDK60,OUT017,1674.017288859863
FDZ25,OUT017,2859.383087466388
FDG12,OUT046,1897.7648956622293
DRB01,OUT019,1143.9997172361732
NCC43,OUT027,5382.081229831994
FDX13,OUT019,2067.3231699394382
FDM22,OUT049,1020.9144996489368
FDJ03,OUT027,2204.5607962764443
FDU14,OUT018,3605.7093685134696
FDB33,OUT010,669.7601200917704
FDP27,OUT046,2988.5702754934355
FDO38,OUT010,0.0
FDE28,OUT027,5124.528596341173
FDO27,OUT035,1682.464307304701
DRL23,OUT027,3190.4232444110626
FDS28,OUT046,935.4541340681459
FDX24,OUT013,1596.3687607506863
FDZ02,OUT035,1673.0208268683166
FDL46,OUT045,1804.860433058489
FDS60,OUT027,4299.225102746979
NCO06,OUT017,596.4249633036761
FDO16,OUT035,1534.7360223703058
FDC60,OUT049,1549.7290059894
FDA48,OUT018,3190.245666405075
FDZ36,OUT027,4481.742956331361
FDK27,OUT045,1910.3576205739937
FDW23,OUT018,377.8049181308236
FDM14,OUT018,1535.7015010965129
FDM14,OUT013,1856.5000768339605
FDW60,OUT018,2632.691843679636
FDE21,OUT013,2003.284703336142
NCM42,OUT035,1911.6367166932387
FDY59,OUT010,0.0
DRI49,OUT049,1330.9891297407376
FDT28,OUT019,495.59705860713234
FDQ22,OUT018,383.84283213736853
FDR60,OUT049,1259.5763508393345
FDC50,OUT019,0.0
FDV24,OUT013,2487.6934649302893
DRF48,OUT010,1089.896461252511
FDQ47,OUT046,576.9873360283809
DRN36,OUT049,1693.0751867636686
NCY06,OUT035,2179.8514915961505
FDE52,OUT035,1563.5012013901558
NCB54,OUT045,2008.6901111288705
NCF31,OUT035,2571.519367469304
FDJ08,OUT027,4480.821089610489
NCC07,OUT017,1778.4959285253774
NCD19,OUT027,2337.318947653017
FDL46,OUT049,2012.2358891386727
FDM20,OUT045,3910.103050357038
NCI06,OUT010,932.599065700391
DRM11,OUT035,4259.677524979781
NCH07,OUT018,2218.036037847701
FDS23,OUT013,2095.1966265859783
FDO49,OUT018,671.2304190275763
FDS35,OUT049,1123.110048763153
DRK39,OUT045,1212.397971333803
DRI39,OUT049,949.2198321740533
FDV04,OUT017,2605.8246172946297
NCN14,OUT035,2973.5931831649186
FDH08,OUT013,3810.6615859671815
FDS20,OUT046,2944.81250808386
FDV40,OUT049,1328.598377624149
FDZ48,OUT010,0.0
FDS24,OUT027,2905.1346787380944
FDK44,OUT049,2885.041674891718
FDS48,OUT045,2374.292479711142
FDK26,OUT010,1142.9276027538172
FDD23,OUT045,3034.8365918667323
NCH54,OUT017,2585.3980543735784
NCP14,OUT010,0.0
FDM60,OUT010,0.0
FDV24,OUT017,2489.353621149996
FDH08,OUT018,3424.1032902914512
FDS12,OUT027,3433.28161025977
FDR39,OUT027,4303.499138770532
FDP12,OUT027,2113.5793342225575
DRF60,OUT027,5165.036413558326
FDC09,OUT035,1897.4951967175125
FDF50,OUT018,2939.3736997530445
FDG28,OUT035,4052.966268367407
NCE19,OUT017,974.0945095926144
NCM53,OUT010,0.0
NCN18,OUT049,1904.4521878482492
FDF32,OUT035,3338.1271553961815
FDF11,OUT013,3966.823038588701
DRI59,OUT049,3692.1168137332584
NCG54,OUT035,2817.6303067434974
FDM44,OUT046,1670.6357063888906
FDT57,OUT018,3470.1605511327216
FDV24,OUT046,2384.430025856762
FDI50,OUT019,1803.5206173254578
FDS09,OUT035,1022.8215671782592
NCC31,OUT027,3912.7904652683956
FDQ07,OUT019,1640.5523789698668
FDC22,OUT017,3144.695988643911
FDZ56,OUT046,2729.76149178986
FDZ40,OUT019,0.0
FDS46,OUT027,3384.9923496416095
DRD24,OUT045,2179.8689698706216
FDV45,OUT017,3078.5225287553258
FDL26,OUT045,2442.8491784990397
FDA56,OUT018,1769.2972561952965
FDN27,OUT046,1867.2461405591125
FDM20,OUT049,4042.220155412839
FDO16,OUT017,1448.3587787248337
FDL03,OUT035,3297.6322478836455
FDE58,OUT046,1839.0641374555992
FDI02,OUT027,3291.7376167711295
NCC55,OUT019,0.0
FDR03,OUT018,3053.830835048303
FDB14,OUT017,1615.5060033685709
FDR45,OUT013,3848.9126656801677
NCN07,OUT017,2121.0237181829293
FDM51,OUT019,0.0
FDT52,OUT027,5365.018316898462
FDL26,OUT046,2448.1504107666206
NCZ42,OUT046,3777.3568848163422
DRI47,OUT019,457.4523337669739
FDW40,OUT013,2341.9358503416465
FDN34,OUT046,2733.5437461125334
FDS01,OUT035,3024.592945377546
NCG55,OUT045,1803.8716195877273
FDC11,OUT035,1529.9461523600235
FDX35,OUT018,3336.706733358817
NCB06,OUT046,2529.5873108772416
FDR09,OUT019,2185.3830346692857
FDC53,OUT017,1666.2059557911339
FDY45,OUT013,4122.833394470683
FDA22,OUT010,766.3205431700735
FDE02,OUT035,1681.174469119264
FDW21,OUT045,1650.9401964826257
FDV34,OUT046,1240.7247958881767
FDS59,OUT049,1878.5602119514074
NCW17,OUT017,2152.9981395204854
NCK54,OUT046,1860.43074768732
FDG17,OUT019,2021.3335593791517
FDG35,OUT017,2924.915156036992
FDD08,OUT010,0.0
NCO07,OUT017,3420.1352147305015
FDJ10,OUT010,212.82378288027462
FDW36,OUT017,1761.0455011203467
FDW21,OUT010,0.0
FDY19,OUT017,2016.323537385319
DRE03,OUT013,768.2074271882093
NCC55,OUT049,732.190340701799
FDH52,OUT010,0.0
FDO09,OUT017,4277.270750297297
FDU43,OUT045,3825.3116466552538
FDX09,OUT010,842.5459459185204
FDH40,OUT019,0.0
FDW58,OUT017,1762.6517874410217
FDC47,OUT017,3643.973582774689
NCR41,OUT035,1638.8170880560288
DRG49,OUT035,3994.9310188012073
FDC52,OUT027,3852.944017868119
FDY13,OUT046,1231.113538077251
FDY35,OUT013,838.533218107094
FDI35,OUT017,3007.585582612006
NCU18,OUT049,2344.1730121401865
FDY33,OUT018,2266.27676876545
FDC15,OUT027,3809.1562396958575
FDU01,OUT049,3151.7429603874994
NCU42,OUT046,2690.272298444126
NCV29,OUT018,2581.892446473771
NCY30,OUT017,2978.6446815398876
FDQ46,OUT049,1881.7705560280574
FDG58,OUT027,3921.192269912629
FDK33,OUT017,3469.5396734582787
NCD07,OUT045,1800.8984161254898
NCX29,OUT027,3749.308585378787
NCT42,OUT013,2455.4778313171496
DRN59,OUT035,903.6174439374644
FDI44,OUT035,1443.3629381724447
FDA45,OUT049,2866.4031853371907
FDP31,OUT045,1053.9777708864326
FDY01,OUT046,1850.0169313944575
FDT09,OUT018,1902.390043070963
DRH03,OUT027,2909.6388685068378
FDA36,OUT018,2727.98487561339
NCF31,OUT017,2525.7448443254884
FDG14,OUT049,2598.5337226745287
FDG28,OUT027,5373.555335409841
FDU14,OUT049,3974.658241349039
FDY47,OUT019,218.0517559745458
FDI56,OUT049,1601.5682219928742
DRD01,OUT013,1021.8567159905443
FDM22,OUT046,946.4415516556593
FDH33,OUT013,740.7088956302414
DRZ24,OUT013,1943.5827113577604
NCQ38,OUT046,1642.8497905066401
FDO16,OUT027,2813.64430670062
FDU07,OUT027,3869.5539346257247
NCB07,OUT013,3128.7695881449263
FDU48,OUT045,2054.399555192597
NCM43,OUT045,2552.37623360369
FDR31,OUT010,482.94097165202425
DRK49,OUT018,391.22576444251035
NCI30,OUT010,1913.308815949067
DRD60,OUT017,2940.4400432340753
NCG19,OUT046,3639.712747191369
FDH12,OUT035,1775.350418514584
FDM32,OUT035,1670.1090049452725
FDM27,OUT035,2630.9602617058563
NCU53,OUT027,4125.143579308678
NCQ18,OUT046,1522.110096942427
FDS10,OUT013,2911.903395683096
FDB33,OUT027,4018.694439980965
FDI12,OUT013,1497.61737507252
NCW42,OUT013,3561.149115304222
NCC06,OUT018,1770.7316133176282
FDW02,OUT017,2080.7067617538087
NCD43,OUT017,1774.2701943717882
FDM57,OUT018,1099.1144583082323
FDA58,OUT017,3812.2639310678173
FDK56,OUT046,2941.6663628130277
FDP52,OUT045,3668.603105455732
FDW20,OUT018,1705.9416354712516
FDS52,OUT049,1740.1577532116228
NCT29,OUT018,1655.8564053339503
NCL54,OUT013,2858.45515316143
FDC05,OUT045,3117.7290529693983
FDF34,OUT035,3332.6803152715233
FDP03,OUT027,3481.9378534534567
FDD32,OUT010,0.0
FDZ10,OUT045,1999.9831926599804
FDZ40,OUT035,1039.1821313610103
FDD51,OUT018,337.26871385977415
NCY30,OUT019,966.2049005256392
FDP58,OUT017,3448.77527363311
FDV49,OUT017,4311.217549664425
FDY24,OUT019,0.0
NCO55,OUT017,1747.6063480283626
FDR13,OUT017,2045.8905179788837
FDS51,OUT017,1109.1506380883484
FDP26,OUT045,1516.8190582294183
NCB54,OUT027,3529.8035928890527
FDF32,OUT017,3248.4750519484487
FDN31,OUT018,2770.0324646062054
DRM48,OUT017,634.8424762207737
FDN20,OUT049,2841.180772851109
DRL01,OUT046,3709.238332166517
FDV56,OUT049,1933.510446353582
DRH13,OUT027,3162.8503173645804
FDA03,OUT017,2360.308145410445
FDF47,OUT027,5003.453913173384
FDX32,OUT046,2387.1033668547207
FDX57,OUT049,1692.4118068636144
NCA30,OUT045,2871.91217390953
FDO49,OUT013,1024.9492187478377
FDL04,OUT019,0.0
DRM48,OUT035,712.0924660359237
FDR16,OUT013,3471.0470183226503
NCC19,OUT018,2764.195533864188
NCE42,OUT045,3675.3067575848213
FDY24,OUT017,1015.5437181013243
FDH19,OUT049,2892.147063062541
FDJ46,OUT013,2833.0380792272335
FDN45,OUT010,1557.9797286065211
FDY08,OUT035,2424.880482270805
FDZ37,OUT035,1641.5614428364604
NCT30,OUT045,671.3827958606412
DRY23,OUT018,426.158886464397
NCZ30,OUT018,1686.087575386324
FDC44,OUT018,1529.1298313765496
FDB45,OUT035,1871.8053710772306
FDY04,OUT013,2709.0946576156557
FDM27,OUT046,2464.6537189026058
FDZ43,OUT017,4001.8416256731343
FDT39,OUT019,587.8529123063211
NCC06,OUT019,88.76125494762209
FDL15,OUT027,3897.0510733760575
FDL57,OUT017,4189.35725172819
FDU08,OUT046,1634.327890724534
FDK40,OUT017,4279.965487479135
FDQ12,OUT010,1714.8943411104563
FDS48,OUT017,2504.6127298544143
FDP09,OUT045,3304.836697006258
FDW21,OUT049,1773.6572154248986
FDY25,OUT035,3059.0211125675432
DRE13,OUT017,1465.3509468802833
FDV43,OUT019,0.0
FDD22,OUT045,1721.840430552272
FDM46,OUT019,0.0
NCO30,OUT010,1012.4051932640883
FDM25,OUT046,2866.6558803758567
NCN41,OUT049,2079.504695374749
FDU24,OUT045,1477.6067862796717
FDZ50,OUT046,2849.154079495579
FDP45,OUT013,4100.718946348505
NCM54,OUT045,1951.4179226666572
FDW10,OUT019,867.3591472455935
FDP20,OUT017,2168.4081232674075
FDK32,OUT046,2480.4322263067525
FDN52,OUT049,1529.6145154926478
FDM58,OUT045,1792.0097575941215
FDZ46,OUT027,3208.9744327534686
NCA18,OUT018,1594.1337182539132
FDD35,OUT046,1976.690548626973
NCK31,OUT035,935.6209501906034
FDI40,OUT027,3068.6463751170922
FDT50,OUT019,0.0
NCT06,OUT046,2591.513147934515
FDT31,OUT035,3181.3702937317985
FDT45,OUT049,963.1506563751435
FDT13,OUT045,2964.5906124651924
FDO50,OUT045,1429.1330474896088
NCU18,OUT010,298.9370212684116
NCR54,OUT049,3165.7174624935765
NCO18,OUT018,2559.8657477708743
FDU09,OUT045,920.9742580018493
FDT13,OUT018,2742.8674874208355
FDE09,OUT046,1851.4856539399627
NCK53,OUT019,0.0
FDG45,OUT049,3567.1675211089782
DRH15,OUT035,784.9703426643546
FDO21,OUT019,1726.9905359534955
FDD14,OUT027,4296.782759231479
FDC09,OUT046,1735.7057787435588
FDH45,OUT027,2237.2543886576386
FDV32,OUT046,1083.7003798879405
FDG12,OUT035,2134.5685517507236
FDS32,OUT013,2410.034817177378
NCL55,OUT018,3655.346395820624
DRE01,OUT035,3925.55073606885
DRE15,OUT049,1279.8383002308567
NCL42,OUT045,3846.0039439329744
FDP31,OUT013,1150.1243381079025
FDN33,OUT018,1252.328820516273
FDZ59,OUT046,2643.4451505794755
FDE45,OUT010,962.082187766725
FDJ07,OUT013,2002.0261343488569
FDQ45,OUT018,2721.9550330959787
FDM33,OUT027,4896.683476145308
FDO15,OUT010,0.0
FDM46,OUT013,1520.2376779009217
FDR03,OUT045,3280.241054851368
FDY49,OUT018,2458.7659540810946
FDQ60,OUT045,1892.2085401535417
FDW10,OUT049,2905.9401630355824
FDO51,OUT049,910.6697968098146
FDJ40,OUT018,1510.7999351294484
FDS20,OUT018,2675.5048116482394
FDU45,OUT013,1922.2989828417362
FDV02,OUT035,2739.8413770310844
FDN09,OUT046,3816.3320091799305
NCM55,OUT027,4364.041627995135
FDN23,OUT018,2055.935461827424
FDY31,OUT010,452.0265625862844
FDW03,OUT010,0.0
FDD14,OUT046,2854.1829067414883
FDV23,OUT017,2049.557231156191
DRI03,OUT045,2685.591551881966
FDN13,OUT035,1758.1978616778567
FDF45,OUT027,2538.9498743858717
FDU46,OUT035,1620.2181627317123
FDB57,OUT049,3725.4145726528322
FDV12,OUT049,1774.1230831354937
FDQ58,OUT013,2505.2194560014086
NCA18,OUT017,1935.618137099607
FDH52,OUT049,1177.5102378349634
FDM24,OUT018,2168.685342665754
NCP43,OUT027,4294.276527099831
NCO18,OUT019,918.2803299422741
FDM32,OUT017,1555.0411817798592
NCL07,OUT017,689.4977465159732
FDK03,OUT013,4033.401092137546
FDP59,OUT017,1734.7601648188943
FDQ24,OUT049,4092.7885404761746
FDQ16,OUT018,1467.8709935202846
FDU44,OUT013,2727.698510901708
FDH28,OUT010,0.0
FDV28,OUT019,0.0
FDM22,OUT045,882.5347490752742
FDR56,OUT046,3162.378913873348
FDV39,OUT049,3253.844973183388
FDU37,OUT019,0.0
FDQ11,OUT010,2204.3472915746297
FDX02,OUT045,3399.705011399257
NCS42,OUT018,1206.6502708046796
FDY57,OUT027,2979.7060726443633
FDB21,OUT049,3946.871694834843
FDE28,OUT017,3735.44405863975
FDQ55,OUT017,2014.1105902939394
FDA48,OUT049,3606.8134579395673
FDZ19,OUT045,2766.641060375271
NCC43,OUT045,3927.5963051310828
NCV18,OUT046,1282.906931410017
NCA42,OUT018,2268.9952018392337
FDY45,OUT046,4034.0747162994535
NCC30,OUT045,2788.8530017957573
FDM57,OUT013,1487.3714170876046
FDL09,OUT010,692.1357366954696
FDB09,OUT027,3488.20890669005
FDT44,OUT035,2064.4195308310027
NCT06,OUT027,4055.7134947220907
FDX26,OUT049,2903.6001092614933
FDK32,OUT013,2483.6109702410554
DRA12,OUT046,2244.139037088806
FDO46,OUT010,1129.9081774508427
FDE52,OUT013,1450.1546745148332
NCH42,OUT045,3607.160520145627
FDV08,OUT035,914.095857045581
FDB47,OUT018,3057.5735971375916
FDC28,OUT010,0.0
FDD22,OUT046,1781.95845040471
FDS07,OUT027,3319.0712172162857
DRI13,OUT045,3376.934932638724
FDG32,OUT018,3235.7050322761797
FDU14,OUT017,3957.6071546751814
FDD28,OUT019,0.0
NCP41,OUT017,1870.0127295416253
FDS08,OUT049,2946.26365230505
FDX47,OUT045,2504.7711792622895
FDC53,OUT019,0.0
FDQ19,OUT035,4085.2991205964136
FDL14,OUT045,2514.111796755956
FDM33,OUT019,1522.1256458605767
FDA51,OUT045,1685.6448841096105
FDZ27,OUT018,467.38018597044925
FDT04,OUT046,580.5077224282309
DRC13,OUT049,2140.1494093801853
FDR16,OUT027,4865.726723367896
FDQ03,OUT027,5224.1406220668905
FDE38,OUT035,2855.983118987435
DRH23,OUT027,2335.488396640531
FDT11,OUT019,1124.93156575369
FDD09,OUT035,3060.7308912351473
FDR40,OUT045,1350.3715084679957
FDX07,OUT017,3098.1898245526613
FDR07,OUT035,1725.3442523256772
FDA51,OUT017,1833.3660765999598
FDT59,OUT019,1753.7615615044792
FDF20,OUT017,3239.0187964696834
FDR13,OUT045,1885.4162297268074
FDY26,OUT049,3393.4730343162637
FDW04,OUT017,2205.29110938468
FDK52,OUT017,3649.9114625499615
FDN60,OUT049,2585.7163228640193
FDM09,OUT019,832.7850390771603
FDP46,OUT049,1500.6297749744233
FDB50,OUT019,0.0
NCQ29,OUT049,4193.057024455113
FDP16,OUT027,5328.444949665682
FDX33,OUT018,2308.001025691457
FDP07,OUT010,1200.823766403235
FDN22,OUT046,3946.2077297913256
FDF39,OUT049,4224.203065246837
FDS21,OUT017,1120.9623889454738
NCM42,OUT013,1760.22118499766
FDK50,OUT019,750.5890642705588
DRF13,OUT027,3774.049463795637
FDH35,OUT018,2351.6298151492015
FDP60,OUT018,1318.1766104222233
DRJ49,OUT027,3518.6754673917985
NCT42,OUT019,477.7277058679251
FDE38,OUT049,2814.7742812643296
FDI04,OUT049,3285.377424579066
NCH54,OUT045,2445.8461087908854
FDT56,OUT049,1129.5512566054103
DRD15,OUT018,3320.1118904584837
FDV58,OUT013,3155.4686651148604
