Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1870.7603442799877
FDW14,OUT017,1516.685091399113
NCN55,OUT010,1904.5083823248651
FDQ58,OUT017,2586.177623340155
FDY38,OUT027,5142.188601860578
FDH56,OUT046,1866.9105059097587
FDL48,OUT018,553.7002564925353
FDC48,OUT027,2791.56024568872
FDN33,OUT045,1481.1490755161715
FDA36,OUT017,3088.847082320969
FDT44,OUT017,1973.2196598204268
FDQ56,OUT045,1326.964673465242
NCC54,OUT019,1884.3787653088107
FDU11,OUT049,2059.06926596966
DRL59,OUT013,961.9896547286523
FDM24,OUT049,2523.7276597887653
FDI57,OUT045,3123.6052340787146
DRC12,OUT018,2796.648646920287
NCM42,OUT027,3233.9777975115594
FDA46,OUT010,1109.904862553029
FDA31,OUT013,2846.5401748811746
NCJ31,OUT035,3898.854635341527
FDG52,OUT046,780.3011833943103
NCL19,OUT019,413.7522565016434
FDS10,OUT035,3038.2120512299975
FDX22,OUT010,1426.8862330183788
NCF19,OUT035,955.6389254083051
NCE06,OUT046,2546.7385658708995
DRC27,OUT046,3864.483921477333
FDE21,OUT035,2039.5829407903568
NCR42,OUT019,0.0
FDX51,OUT018,2846.3078885376485
NCR06,OUT018,466.92494783480447
FDU31,OUT027,4925.885863523517
FDU59,OUT017,2694.3336273436453
FDR03,OUT027,4735.111374924767
FDS49,OUT027,2752.723653329708
FDD48,OUT010,0.0
NCF18,OUT017,3134.0108266201805
NCD43,OUT027,3140.923641293557
NCD54,OUT018,2036.5315453657126
FDY19,OUT010,0.0
NCY54,OUT017,2809.676595981225
NCL19,OUT018,2065.4286531344424
FDP23,OUT010,1538.369475640414
FDC26,OUT013,1856.5776323337468
FDR14,OUT010,0.0
NCS41,OUT035,3069.693761987618
FDF41,OUT035,4050.326851675922
FDU34,OUT046,1983.196275495528
DRH11,OUT046,921.7238378704185
FDM03,OUT013,1772.1019206432848
FDS31,OUT017,2980.0154073924596
FDJ20,OUT017,2036.9236858695426
FDV44,OUT027,4465.177614954278
FDG02,OUT049,3135.5688232405005
FDA09,OUT013,2968.0665157813046
FDT04,OUT013,710.5347310879658
FDL58,OUT019,2259.8965804750364
FDE52,OUT045,1435.0204082583682
FDW12,OUT035,2476.6328985897862
FDL51,OUT017,3509.7376524622796
NCY42,OUT027,3734.985264295547
FDR07,OUT017,1647.5377541882856
FDN40,OUT045,2388.4097363549276
FDB35,OUT027,2915.897373687089
FDA22,OUT017,2724.0596832645933
NCL06,OUT046,4137.997403161251
FDI35,OUT013,2974.792404934894
NCW42,OUT045,3479.384617169704
NCX06,OUT049,2997.1756234357454
FDC37,OUT027,3208.5478544974235
FDZ14,OUT018,1699.7108396270833
DRG49,OUT049,3993.41972696725
NCG06,OUT045,4033.8243005956156
DRC36,OUT045,2735.4085409276086
FDV21,OUT019,19.905849570209284
FDB53,OUT046,2326.045883407684
DRP47,OUT019,2039.1487379469481
FDA14,OUT013,2399.68811326949
DRC24,OUT035,2604.277830911773
FDW21,OUT018,1378.123313464147
NCH29,OUT046,1570.5228047545716
FDU58,OUT013,3096.399250067611
FDY27,OUT017,2932.340917171671
FDV56,OUT035,1924.9920250882735
FDT59,OUT046,3662.376319230073
FDB23,OUT046,3587.7799467643567
FDR49,OUT045,699.5500564994018
FDB03,OUT010,1840.206045714643
FDN39,OUT045,2631.4056870531313
FDX02,OUT027,4996.071309820294
FDQ16,OUT027,3198.3444467158142
FDU35,OUT018,1327.327604409597
NCT29,OUT013,2039.8184668408721
FDZ27,OUT046,807.9355697253934
FDN57,OUT017,2340.1584136676906
FDA03,OUT018,2064.1280499774925
FDZ36,OUT045,2914.196937946956
NCU05,OUT013,1401.12723790284
FDT39,OUT018,2166.4022725743725
FDK60,OUT017,1646.578133927536
FDZ25,OUT017,2803.5382515133906
FDG12,OUT046,1969.9617823872472
DRB01,OUT019,1131.9207000640786
NCC43,OUT027,5410.004620593811
FDX13,OUT019,2051.1907352506673
FDM22,OUT049,998.265713997067
FDJ03,OUT027,2263.087345512864
FDU14,OUT018,3713.84776140942
FDB33,OUT010,643.6269733696329
FDP27,OUT046,2992.147077540254
FDO38,OUT010,0.0
FDE28,OUT027,5102.458272563601
FDO27,OUT035,1639.2430060028018
DRL23,OUT027,3199.0795411469862
FDS28,OUT046,901.4457314468523
FDX24,OUT013,1599.0385468248355
FDZ02,OUT035,1717.2197863626955
FDL46,OUT045,1843.472624030865
FDS60,OUT027,4312.738114271904
NCO06,OUT017,636.7192765063721
FDO16,OUT035,1543.6419294397745
FDC60,OUT049,1502.4939707018898
FDA48,OUT018,3200.3081266282898
FDZ36,OUT027,4446.831249377183
FDK27,OUT045,1921.8171618510598
FDW23,OUT018,377.2439208711005
FDM14,OUT018,1523.3300975422355
FDM14,OUT013,1844.6118166818135
FDW60,OUT018,2580.8950269456313
FDE21,OUT013,1968.9798277136601
NCM42,OUT035,1925.2263622678918
FDY59,OUT010,0.0
DRI49,OUT049,1377.6528062685588
FDT28,OUT019,516.2350249945389
FDQ22,OUT018,412.4576333274406
FDR60,OUT049,1326.1837930712563
FDC50,OUT019,0.0
FDV24,OUT013,2486.542608485066
DRF48,OUT010,1113.7823597374993
FDQ47,OUT046,560.432901553588
DRN36,OUT049,1687.8078564383995
NCY06,OUT035,2211.1261576128545
FDE52,OUT035,1614.167726654664
NCB54,OUT045,2001.481380358487
NCF31,OUT035,2590.7927142112935
FDJ08,OUT027,4450.649030428678
NCC07,OUT017,1816.767037302193
NCD19,OUT027,2365.70501434346
FDL46,OUT049,2047.5089732475585
FDM20,OUT045,3872.504242965869
NCI06,OUT010,954.4696470641911
DRM11,OUT035,4254.067398441823
NCH07,OUT018,2244.1707745223507
FDS23,OUT013,2120.964774336719
FDO49,OUT018,559.8904547159912
FDS35,OUT049,1158.7002919872486
DRK39,OUT045,1306.8541903291164
DRI39,OUT049,1055.6350721244498
FDV04,OUT017,2573.056038183943
NCN14,OUT035,3041.7152386333228
FDH08,OUT013,3764.9860384037474
FDS20,OUT046,2901.915433926461
FDV40,OUT049,1359.829185907303
FDZ48,OUT010,0.0
FDS24,OUT027,2872.69647732274
FDK44,OUT049,2860.3991064520856
FDS48,OUT045,2391.8896903456694
FDK26,OUT010,1067.0104295884926
FDD23,OUT045,2966.6126115944226
NCH54,OUT017,2661.6654997676796
NCP14,OUT010,0.0
FDM60,OUT010,0.0
FDV24,OUT017,2488.6803835290357
FDH08,OUT018,3377.9921635407604
FDS12,OUT027,3450.4745618454544
FDR39,OUT027,4319.26384954298
FDP12,OUT027,2081.3421200395414
DRF60,OUT027,5206.5802919930975
FDC09,OUT035,1821.9650880936238
FDF50,OUT018,2860.773388524295
FDG28,OUT035,4020.3770939228093
NCE19,OUT017,994.4431460619908
NCM53,OUT010,0.0
NCN18,OUT049,1922.4822111655399
FDF32,OUT035,3311.6641279045307
FDF11,OUT013,3895.564473799032
DRI59,OUT049,3691.7276580480443
NCG54,OUT035,2842.9235645542
FDM44,OUT046,1635.0259500176753
FDT57,OUT018,3493.4134109130555
FDV24,OUT046,2382.200099101335
FDI50,OUT019,1739.3403766426818
FDS09,OUT035,991.5651494461033
NCC31,OUT027,3940.1921088645217
FDQ07,OUT019,1557.9987708163608
FDC22,OUT017,3108.690402537289
FDZ56,OUT046,2700.335164413607
FDZ40,OUT019,0.0
FDS46,OUT027,3361.5319765953373
DRD24,OUT045,2224.0560382698814
FDV45,OUT017,3106.7202123373713
FDL26,OUT045,2442.7476985253843
FDA56,OUT018,1727.3825771930185
FDN27,OUT046,1893.7852987777142
FDM20,OUT049,4002.5112186133124
FDO16,OUT017,1456.6552778646924
FDL03,OUT035,3274.5634356014734
FDE58,OUT046,1869.9711754396478
FDI02,OUT027,3235.5477878699285
NCC55,OUT019,0.0
FDR03,OUT018,3022.0063635414654
FDB14,OUT017,1570.7548412201138
FDR45,OUT013,3913.5321755323503
NCN07,OUT017,2186.7007409869425
FDM51,OUT019,0.0
FDT52,OUT027,5340.937512038787
FDL26,OUT046,2443.8885629392953
NCZ42,OUT046,3795.1722002861734
DRI47,OUT019,460.7767445052509
FDW40,OUT013,2319.5196708638737
FDN34,OUT046,2709.6288094579895
FDS01,OUT035,3008.962084835854
NCG55,OUT045,1838.6823906885193
FDC11,OUT035,1531.2529625194397
FDX35,OUT018,3312.7167981318025
NCB06,OUT046,2535.187479485707
FDR09,OUT019,2204.5534602326507
FDC53,OUT017,1680.2319911538857
FDY45,OUT013,4150.246941675718
FDA22,OUT010,740.3073153934515
FDE02,OUT035,1663.3128627183637
FDW21,OUT045,1612.774323578702
FDV34,OUT046,1208.8960935637174
FDS59,OUT049,1874.903841671042
NCW17,OUT017,2159.876585347905
NCK54,OUT046,1883.1207406928452
FDG17,OUT019,1992.231606033954
FDG35,OUT017,2875.196994386677
FDD08,OUT010,0.0
NCO07,OUT017,3466.587463702254
